miner_uid,run_id,epoch,loss
1,6,0,7.710564574150763
106,6,0,7.957995760053691
108,6,0,7.14375176879791
109,6,0,3.8453136446174585
111,6,0,8.017284716018436
112,6,0,7.179195078137747
113,6,0,7.228457754569323
114,6,0,7.522540110229551
115,6,0,7.171753942576405
116,6,0,7.4969005745765225
117,6,0,3.311350139035918
121,6,0,6.735123430021629
126,6,0,7.203902751124957
13,6,0,7.474172968597129
130,6,0,7.710395710550134
133,6,0,7.1524936192336375
134,6,0,6.733603627172752
135,6,0,7.165747283940275
136,6,0,6.792387241638124
137,6,0,3.31158885831539
138,6,0,7.16365766183624
140,6,0,7.645865956724262
141,6,0,7.516197230405695
144,6,0,7.617112431128065
146,6,0,7.504041820164083
147,6,0,7.685774329891141
148,6,0,7.814760796772806
15,6,0,8.298680512292599
154,6,0,1.31195299651538
155,6,0,6.874607464904577
157,6,0,6.9875551124110755
160,6,0,3.0775014111579826
162,6,0,7.86792946588419
164,6,0,6.7572092068239415
165,6,0,6.770903569609228
166,6,0,3.8460210533825205
167,6,0,7.5213965373398075
170,6,0,7.11078205573175
173,6,0,7.1344779310537945
18,6,0,7.431803014987523
181,6,0,6.710480414209094
183,6,0,7.156757814934183
184,6,0,3.3122180217875417
188,6,0,7.775661907215886
191,6,0,7.910115884469711
196,6,0,6.894087792315688
197,6,0,7.124004478250098
199,6,0,7.176304668231946
201,6,0,7.674927799193284
202,6,0,6.913107476218437
205,6,0,6.828652837371424
208,6,0,6.9257318534133665
209,6,0,7.9245436564982725
21,6,0,6.846803373536434
210,6,0,3.0763080932695894
212,6,0,7.181656455660687
215,6,0,8.083316731116586
216,6,0,7.828588533385054
217,6,0,7.390004837021871
219,6,0,7.7774124127369335
230,6,0,7.406348596830959
238,6,0,6.757867282413106
241,6,0,7.128615342458004
242,6,0,7.6795197396649835
244,6,0,7.4129962325953
247,6,0,7.7182164412166685
248,6,0,3.3135802307702553
249,6,0,6.803355261201377
25,6,0,6.874374007207974
250,6,0,6.807668628404769
255,6,0,7.494321616351908
26,6,0,3.8461497604066532
3,6,0,7.906578795707066
30,6,0,7.144502420306577
31,6,0,7.711767797040858
32,6,0,7.676265111442312
34,6,0,7.478797507040802
35,6,0,7.141576719789964
39,6,0,7.1686635432990595
40,6,0,7.181774889519206
42,6,0,7.559158204888004
47,6,0,6.854222264033839
50,6,0,7.145818732121999
52,6,0,1.888661981835934
53,6,0,7.16395688831606
56,6,0,3.0771560367046544
58,6,0,6.815799989200039
59,6,0,7.219628860356046
61,6,0,7.147189243728271
63,6,0,6.914555318862518
70,6,0,7.85215852032909
71,6,0,7.936993830574266
72,6,0,6.959403381190949
73,6,0,3.0772034144512452
74,6,0,7.5584328639229605
75,6,0,7.145382422853262
77,6,0,7.779872890863273
80,6,0,7.68625764504663
85,6,0,8.02864799869177
86,6,0,6.892126933900773
88,6,0,3.075692913137108
9,6,0,7.0880145288574
93,6,0,7.502711411131908
97,6,0,7.483422236224995
99,6,0,7.884111711219479
1,6,1,6.697480910657062
106,6,1,6.570080922475378
108,6,1,7.082871839425043
109,6,1,6.44688562193146
111,6,1,6.234511433613714
112,6,1,7.667027036176568
113,6,1,7.133683861609587
114,6,1,6.554878723645551
115,6,1,7.80467820703678
116,6,1,6.55055759085129
117,6,1,6.435611474955975
121,6,1,6.721118027844338
122,6,1,6.518482998953018
126,6,1,7.109314022850576
129,6,1,6.364267758251064
13,6,1,6.595467303139221
130,6,1,6.4659026669321875
133,6,1,6.972864598276162
134,6,1,6.725036011046617
135,6,1,7.085617769953787
136,6,1,6.70832267011903
137,6,1,6.4319343349591245
138,6,1,7.801162385849662
140,6,1,6.616560308737313
141,6,1,6.6008442270221215
144,6,1,6.666401588251407
146,6,1,6.598112879563204
147,6,1,6.15783658547527
148,6,1,6.105705331885907
15,6,1,6.547116315432481
154,6,1,6.3304933697050565
155,6,1,6.8517367580621755
157,6,1,6.330390916019923
160,6,1,6.458622793876035
162,6,1,6.6201718002735825
164,6,1,6.7167648665868604
165,6,1,6.697913684025734
166,6,1,6.449913653279846
167,6,1,6.545168388794819
170,6,1,6.492446793645566
173,6,1,7.456838516612618
18,6,1,6.744827504037478
181,6,1,6.743832205855571
183,6,1,7.058130573156758
184,6,1,6.45100323036301
187,6,1,5.959974422781312
188,6,1,6.596332754110415
191,6,1,5.681814370914551
194,6,1,6.613617042109376
196,6,1,6.651292669127872
